step,sigma,unweighted_mse
501,0.3564,0.01643
501,0.2901,0.01338
501,0.6034,0.03745
501,0.0305,0.00045
501,0.6549,0.04031
501,0.5097,0.02367
501,1.6694,0.12007
501,1.3831,0.08672
502,0.2120,0.00693
502,0.6842,0.03550
502,0.1376,0.00285
502,0.3912,0.01742
502,0.1610,0.00559
502,0.4974,0.01876
502,0.0666,0.00133
502,0.1834,0.00408
503,0.2457,0.00824
503,0.6269,0.02412
503,0.0853,0.00172
503,2.3646,0.18605
503,0.4104,0.01920
503,0.1095,0.00280
503,0.0566,0.00092
503,0.2401,0.00900
504,1.0232,0.05425
504,1.5558,0.05220
504,0.2873,0.01104
504,0.0510,0.00060
504,0.3850,0.01730
504,0.3427,0.01099
504,0.2076,0.00743
504,0.0643,0.00079
505,0.3230,0.00976
505,0.8089,0.03733
505,0.1648,0.00516
505,0.8109,0.05040
505,0.1106,0.00342
505,0.1932,0.00758
505,1.5046,0.07323
505,0.2644,0.01048
506,0.5762,0.02630
506,0.7915,0.05128
506,0.7374,0.01693
506,0.2888,0.01071
506,0.3013,0.01068
506,1.5214,0.11009
506,0.2002,0.00719
506,0.2349,0.00915
507,0.0330,0.00050
507,0.1377,0.00367
507,1.1530,0.05199
507,3.4415,0.16930
507,0.6482,0.02598
507,1.5838,0.08869
507,0.2977,0.00962
507,0.0255,0.00026
508,0.0523,0.00092
508,0.0555,0.00073
508,0.3240,0.01574
508,1.1836,0.04457
508,0.7821,0.02769
508,0.2178,0.00852
508,2.9780,0.23101
508,0.1195,0.00290
509,0.2912,0.01799
509,0.6047,0.02246
509,0.0911,0.00189
509,0.9660,0.04468
509,0.3843,0.01129
509,0.3166,0.01528
509,0.2403,0.00858
509,1.1717,0.04381
510,0.1752,0.00480
510,0.2536,0.00982
510,0.8818,0.05654
510,0.1949,0.00559
510,0.6332,0.03602
510,0.2856,0.00642
510,0.4578,0.03251
510,0.0769,0.00118
511,0.1686,0.00484
511,0.6227,0.02472
511,0.5020,0.01572
511,0.4420,0.01905
511,0.1899,0.00455
511,0.1053,0.00225
511,0.3785,0.01623
511,0.0762,0.00154
512,0.7487,0.02317
512,1.0247,0.08273
512,0.1154,0.00225
512,0.2854,0.01021
512,0.2710,0.01238
512,0.2213,0.00621
512,0.1228,0.00287
512,0.0957,0.00238
513,0.0817,0.00167
513,0.1625,0.00411
513,0.1283,0.00278
513,0.0887,0.00181
513,1.2055,0.05663
513,0.5687,0.02382
513,0.6300,0.03459
513,0.2759,0.01008
514,1.0327,0.06569
514,0.2694,0.01390
514,0.5676,0.01974
514,1.0200,0.07339
514,2.3941,0.07850
514,0.1991,0.00543
514,0.0055,0.00002
514,10.5965,0.25673
515,0.2846,0.01218
515,0.5198,0.01738
515,0.1359,0.00424
515,0.0723,0.00175
515,0.3682,0.02303
515,0.6583,0.03088
515,0.0587,0.00098
515,0.2197,0.00821
516,0.1495,0.00524
516,0.1077,0.00238
516,0.7340,0.05492
516,2.1215,0.11664
516,0.2765,0.00873
516,0.1467,0.00378
516,0.8045,0.03592
516,0.0422,0.00061
517,0.6529,0.02548
517,0.0994,0.00177
517,0.7207,0.03589
517,0.5527,0.02547
517,0.7042,0.03672
517,0.3598,0.01056
517,0.0258,0.00028
517,0.4035,0.01576
518,0.1321,0.00416
518,0.3419,0.01017
518,0.2486,0.00847
518,0.2293,0.00798
518,1.4566,0.07468
518,2.1742,0.27995
518,2.0219,0.17004
518,0.3521,0.01575
519,0.1330,0.00452
519,0.3103,0.01297
519,0.2377,0.00992
519,1.3179,0.06740
519,1.8971,0.16379
519,1.0319,0.03663
519,0.1559,0.00384
519,0.2137,0.00518
520,0.0701,0.00136
520,0.4166,0.01981
520,0.1680,0.00361
520,0.8853,0.05255
520,0.4495,0.01488
520,0.0682,0.00142
520,2.4877,0.14498
520,0.1535,0.00449
521,0.4031,0.01788
521,1.1247,0.06119
521,0.0234,0.00031
521,0.0961,0.00228
521,0.2025,0.00721
521,0.0470,0.00092
521,0.2721,0.00887
521,0.5229,0.01939
522,2.0670,0.09777
522,0.5942,0.02422
522,0.0907,0.00170
522,0.4369,0.01364
522,0.3277,0.01013
522,0.0744,0.00092
522,0.1720,0.00513
522,0.1931,0.00388
523,0.4729,0.01353
523,0.4370,0.01645
