step,loss
50,0.8946
100,0.6621
150,0.4853
200,0.3617
250,0.2730
300,0.2232
350,0.1997
400,0.1749
450,0.1681
500,0.1526
550,0.1453
600,0.1398
650,0.1366
700,0.1279
750,0.1181
800,0.1176
850,0.1178
900,0.1123
950,0.1082
1000,0.1103
1050,0.1012
1100,0.1028
1150,0.0989
1200,0.0929
1250,0.0941
1300,0.0941
1350,0.0886
1400,0.0923
1450,0.0903
1500,0.0896
1550,0.0867
1600,0.0853
1650,0.0820
1700,0.0806
1750,0.0838
1800,0.0814
1850,0.0815
1900,0.0825
1950,0.0786
2000,0.0792
2050,0.0758
2100,0.0783
2150,0.0752
2200,0.0785
2250,0.0775
2300,0.0775
2350,0.0732
2400,0.0727
2450,0.0753
2500,0.0753
2550,0.0744
2600,0.0753
2650,0.0743
2700,0.0727
2750,0.0699
2800,0.0691
2850,0.0653
2900,0.0690
2950,0.0648
3000,0.0669
3050,0.0680
3100,0.0692
3150,0.0675
3200,0.0701
3250,0.0704
3300,0.0678
3350,0.0703
3400,0.0668
3450,0.0644
3500,0.0648
3550,0.0653
3600,0.0647
3650,0.0651
3700,0.0667
3750,0.0650
3800,0.0645
3850,0.0621
3900,0.0646
3950,0.0658
4000,0.0652
