step,loss,recon_mse,kl
50,0.9007,0.3937,0.161
100,0.2253,0.1358,3.002
150,0.1059,0.0737,6.029
200,0.0823,0.0604,6.999
250,0.0665,0.0503,7.684
300,0.0555,0.0405,8.077
350,0.0494,0.0383,8.216
400,0.0486,0.0354,8.346
450,0.0421,0.0294,8.597
500,0.0352,0.0271,8.226
550,0.0307,0.0249,8.448
600,0.0335,0.0258,8.449
650,0.0310,0.0239,8.024
700,0.0276,0.0221,8.278
750,0.0273,0.0215,8.313
800,0.0249,0.0202,8.265
850,0.0251,0.0205,8.263
900,0.0263,0.0194,8.203
950,0.0227,0.0182,8.092
1000,0.0210,0.0168,8.014
1050,0.0203,0.0167,7.971
1100,0.0189,0.0155,7.872
1150,0.0192,0.0149,7.811
1200,0.0195,0.0146,7.645
1250,0.0185,0.0141,7.515
1300,0.0178,0.0145,7.378
1350,0.0213,0.0142,7.415
1400,0.0172,0.0138,7.249
1450,0.0162,0.0130,7.312
1500,0.0160,0.0128,7.145
