step,loss
50,0.3026
100,0.1159
150,0.0893
200,0.0764
250,0.0697
300,0.0644
350,0.0631
400,0.0597
450,0.0534
500,0.0524
550,0.0525
600,0.0533
650,0.0514
700,0.0475
750,0.0501
800,0.0490
850,0.0501
900,0.0456
950,0.0463
1000,0.0462
1050,0.0461
1100,0.0468
1150,0.0444
1200,0.0454
1250,0.0437
1300,0.0433
1350,0.0438
1400,0.0444
1450,0.0428
1500,0.0409
1550,0.0423
1600,0.0434
1650,0.0430
1700,0.0434
1750,0.0408
1800,0.0419
1850,0.0413
1900,0.0425
1950,0.0431
2000,0.0408
2050,0.0415
2100,0.0411
2150,0.0409
2200,0.0415
2250,0.0416
2300,0.0416
2350,0.0397
2400,0.0405
2450,0.0384
2500,0.0407
2550,0.0400
2600,0.0392
2650,0.0391
2700,0.0390
2750,0.0403
2800,0.0389
2850,0.0394
2900,0.0400
2950,0.0391
3000,0.0377
3050,0.0400
3100,0.0373
3150,0.0377
3200,0.0380
3250,0.0391
3300,0.0374
3350,0.0381
3400,0.0377
3450,0.0388
3500,0.0366
