iter,calc,lookup,compose,mean,calc_malformed,lookup_malformed,compose_malformed
0,0.720,0.867,0.393,0.660,0.000,0.133,0.427
4,0.747,0.693,0.393,0.611,0.000,0.307,0.407
8,0.747,0.860,0.300,0.636,0.000,0.140,0.547
12,0.740,0.847,0.300,0.629,0.000,0.153,0.573
16,0.747,0.847,0.320,0.638,0.000,0.153,0.547
20,0.753,0.760,0.347,0.620,0.000,0.240,0.493
24,0.747,0.767,0.340,0.618,0.000,0.233,0.500
28,0.733,0.780,0.353,0.622,0.000,0.220,0.493
32,0.733,0.747,0.367,0.616,0.000,0.253,0.467
36,0.727,0.773,0.380,0.627,0.000,0.227,0.447
