iter,calc,lookup,compose,mean,calc_malformed,lookup_malformed,compose_malformed
0,0.533,1.000,0.993,0.842,0.000,0.000,0.000
3,0.513,1.000,0.873,0.796,0.000,0.000,0.127
6,0.500,0.993,0.920,0.804,0.000,0.000,0.080
9,0.500,0.993,0.560,0.684,0.000,0.000,0.420
12,0.500,0.980,0.567,0.682,0.000,0.000,0.420
15,0.500,0.993,0.780,0.758,0.000,0.000,0.200
18,0.500,0.980,0.880,0.787,0.000,0.020,0.113
21,0.500,0.967,0.920,0.796,0.000,0.033,0.060
24,0.500,0.980,0.927,0.802,0.000,0.020,0.047
27,0.500,1.000,0.973,0.824,0.000,0.000,0.000
