iter,calc,lookup,compose,mean,chain_rate,calc_malformed,lookup_malformed,compose_malformed
0,0.667,0.980,0.013,0.553,0.000,0.000,0.007,0.000
3,0.660,0.953,0.000,0.538,0.000,0.000,0.047,0.000
6,0.673,0.973,0.353,0.667,0.873,0.000,0.000,0.473
9,0.687,0.973,0.347,0.669,0.993,0.000,0.000,0.427
12,0.700,0.960,0.300,0.653,0.987,0.000,0.013,0.547
15,0.693,0.993,0.287,0.658,0.993,0.000,0.000,0.527
18,0.680,1.000,0.260,0.647,0.993,0.000,0.000,0.567
21,0.667,0.953,0.247,0.622,0.913,0.000,0.033,0.607
24,0.673,0.960,0.347,0.660,0.973,0.000,0.027,0.447
27,0.707,0.993,0.353,0.684,0.980,0.000,0.000,0.433
