policy,max_batch,wall_s,throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,e2e_p50_ms,e2e_p99_ms,peak_running,peak_tokens,paged_blocks,reserve_blocks
static,16,5.75,487.8,1026,3067,3127,2353,3769,16,1384,89,512
continuous,16,5.42,517.7,201,1545,1765,1367,3959,16,2165,143,512
static,2,14.61,191.9,9722,11897,11975,10442,12305,2,338,22,64
continuous,2,7.53,372.5,2833,4856,4924,3317,5254,2,431,28,64
static,4,7.64,366.8,2934,4923,5004,4059,5384,4,654,42,128
continuous,4,6.22,450.8,2091,3550,3581,2672,4007,4,720,46,128
static,8,6.97,402.2,2281,4285,4322,3440,4796,8,862,56,256
continuous,8,5.54,506.2,946,2594,2627,2274,3911,8,1304,84,256
static,16,5.60,500.6,994,2911,2968,2256,3641,16,1384,89,512
continuous,16,5.03,557.9,36,1316,1584,1122,3671,16,2160,141,512
static,32,5.26,533.6,527,1145,1161,1449,4174,32,2074,141,1024
continuous,32,4.62,606.7,25,66,74,849,3532,29,2204,150,928
