layer,train_acc,test_acc,shuffled_test_acc
0,0.5075,0.4775,0.4865
1,0.5255,0.5676,0.5676
2,0.6186,0.6126,0.4685
3,0.6216,0.6126,0.4685
4,0.7327,0.6306,0.4595
5,0.6997,0.6937,0.4505
6,0.6156,0.6306,0.4505
7,0.6577,0.6577,0.4234
8,0.8378,0.8018,0.4324
9,0.8559,0.8018,0.5676
10,0.8348,0.8108,0.4685
11,0.8529,0.8108,0.5856
12,0.8679,0.7838,0.4324
13,0.8649,0.8198,0.4595
14,0.8649,0.8288,0.5405
15,0.8679,0.8288,0.4414
16,0.8649,0.7928,0.4865
17,0.8739,0.8108,0.4595
18,0.8739,0.8018,0.4324
19,0.8769,0.7928,0.4054
20,0.8769,0.8198,0.5676
21,0.8739,0.8288,0.4414
22,0.8709,0.8108,0.4505
23,0.8709,0.7838,0.4144
24,0.8769,0.7658,0.4234
